idiom_token,label,num_of_examples,total,idiomaticity_ratio,degree_of_idiomaticity,ccnews_rarity,morphology_type
IDonehorseraceID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDonehorseraceID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDservesomeonerightID,idiom,68,69,0.9855072463768116,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDservesomeonerightID,literal,1,69,0.014492753623188406,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDallovertheplaceID,idiom,76,98,0.7755102040816326,ambiguous,ccnews_frequent,moderate_morphology
IDallovertheplaceID,literal,22,98,0.22448979591836735,ambiguous,ccnews_frequent,moderate_morphology
IDbearfruitID,idiom,113,117,0.9658119658119658,highly_idiomatic,ccnews_frequent,moderate_morphology
IDbearfruitID,literal,4,117,0.03418803418803419,highly_idiomatic,ccnews_frequent,moderate_morphology
IDblowagasketID,idiom,6,6,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDblowagasketID,literal,0,6,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDeternaltriangleID,idiom,10,10,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDeternaltriangleID,literal,0,10,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcarrythedayID,idiom,22,22,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcarrythedayID,literal,0,22,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcrampsomeonesstyleID,idiom,17,17,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcrampsomeonesstyleID,literal,0,17,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpartyanimalID,idiom,11,11,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpartyanimalID,literal,0,11,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhobsonschoiceID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDhobsonschoiceID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgoofftheboilID,idiom,7,7,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgoofftheboilID,literal,0,7,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDlifeandlimbID,idiom,38,38,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDlifeandlimbID,literal,0,38,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDshutthedooronID,idiom,13,22,0.5909090909090909,ambiguous,ccnews_moderately_rare,moderate_morphology
IDshutthedooronID,literal,9,22,0.4090909090909091,ambiguous,ccnews_moderately_rare,moderate_morphology
IDatthecrossroadsID,idiom,44,109,0.4036697247706422,ambiguous,ccnews_frequent,high_morphology
IDatthecrossroadsID,literal,65,109,0.5963302752293578,ambiguous,ccnews_frequent,high_morphology
IDletthecatoutofthebagID,idiom,8,8,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDletthecatoutofthebagID,literal,0,8,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDearlybirdID,idiom,18,21,0.8571428571428571,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDearlybirdID,literal,3,21,0.14285714285714285,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDchuckitdownID,idiom,3,6,0.5,ambiguous,ccnews_very_rare,moderate_morphology
IDchuckitdownID,literal,3,6,0.5,ambiguous,ccnews_very_rare,moderate_morphology
IDbyheartID,idiom,142,152,0.9342105263157895,highly_idiomatic,ccnews_frequent,moderate_morphology
IDbyheartID,literal,10,152,0.06578947368421052,highly_idiomatic,ccnews_frequent,moderate_morphology
IDbushtelegraphID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbushtelegraphID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDpigsmightflyID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpigsmightflyID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDbyandlargeID,idiom,162,163,0.9938650306748467,highly_idiomatic,ccnews_frequent,no_morphology
IDbyandlargeID,literal,1,163,0.006134969325153374,highly_idiomatic,ccnews_frequent,no_morphology
IDputyourheadstogetherID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDputyourheadstogetherID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgounderthehammerID,idiom,24,25,0.96,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgounderthehammerID,literal,1,25,0.04,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcouldeatahorseID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDcouldeatahorseID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpullafastoneID,idiom,12,12,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDpullafastoneID,literal,0,12,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcutthegordianknotID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcutthegordianknotID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDkissoflifeID,idiom,37,37,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDkissoflifeID,literal,0,37,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDgototownID,idiom,17,65,0.26153846153846155,ambiguous,ccnews_moderately_rare,high_morphology
IDgototownID,literal,48,65,0.7384615384615385,ambiguous,ccnews_moderately_rare,high_morphology
IDyesandnoID,idiom,21,31,0.6774193548387096,ambiguous,ccnews_moderately_rare,moderate_morphology
IDyesandnoID,literal,10,31,0.3225806451612903,ambiguous,ccnews_moderately_rare,moderate_morphology
IDonthestumpID,idiom,9,28,0.32142857142857145,ambiguous,ccnews_moderately_rare,high_morphology
IDonthestumpID,literal,19,28,0.6785714285714286,ambiguous,ccnews_moderately_rare,high_morphology
IDatapinchID,idiom,35,35,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDatapinchID,literal,0,35,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDspreadyourselftoothinID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDspreadyourselftoothinID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDblowafuseID,idiom,8,12,0.6666666666666666,ambiguous,ccnews_very_rare,moderate_morphology
IDblowafuseID,literal,4,12,0.3333333333333333,ambiguous,ccnews_very_rare,moderate_morphology
IDsavesomeonesskinID,idiom,19,19,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsavesomeonesskinID,literal,0,19,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpaythroughthenoseID,idiom,15,15,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDpaythroughthenoseID,literal,0,15,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDsweepsomeoneofftheirfeetID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsweepsomeoneofftheirfeetID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpicksomeonesbrainID,idiom,12,12,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpicksomeonesbrainID,literal,0,12,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDunderacloudID,idiom,23,30,0.7666666666666667,ambiguous,ccnews_frequent,moderate_morphology
IDunderacloudID,literal,7,30,0.23333333333333334,ambiguous,ccnews_frequent,moderate_morphology
IDtakethefifthID,idiom,0,2,0.0,highly_literal,ccnews_moderately_rare,moderate_morphology
IDtakethefifthID,literal,2,2,1.0,highly_literal,ccnews_moderately_rare,moderate_morphology
IDsleeplikealogID,idiom,13,13,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsleeplikealogID,literal,0,13,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDpieintheskyID,idiom,17,17,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpieintheskyID,literal,0,17,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpickholesID,idiom,14,15,0.9333333333333333,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDpickholesID,literal,1,15,0.06666666666666667,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDlonewolfID,idiom,5,6,0.8333333333333334,highly_idiomatic,ccnews_frequent,no_morphology
IDlonewolfID,literal,1,6,0.16666666666666666,highly_idiomatic,ccnews_frequent,no_morphology
IDrunamokID,idiom,30,30,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDrunamokID,literal,0,30,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDclutchatstrawsID,idiom,22,22,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDclutchatstrawsID,literal,0,22,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDinthelongtermID,idiom,160,160,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDinthelongtermID,literal,0,160,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDrunsomethinguptheflagpoleID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDrunsomethinguptheflagpoleID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtownandgownID,idiom,7,7,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDtownandgownID,literal,0,7,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhaveafootinbothcampsID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhaveafootinbothcampsID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDoffthebeatentrackID,idiom,38,38,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDoffthebeatentrackID,literal,0,38,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDaskforthemoonID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDaskforthemoonID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
